,wnids,num_examples,num_correct,incontext_acc,outofcontext_acc,incontext_sim
0,"['n02097130', 'n02094114', 'n04265275', 'n02096585', 'n02093428', 'n02119022', 'n02097047', 'n02096437', 'n02093256', 'n02094433', 'n02093754', 'n02281787', 'n02097209', 'n02169497', 'n02117135', 'n02093647', 'n02097474', 'n02231487', 'n02096177', 'n02328150', 'n02099429', 'n04266014', 'n02137549', 'n02099267', 'n02125311', 'n02256656', 'n04263257', 'n02264363', 'n02229544', 'n02096051', 'n02098413', 'n02127052', 'n04264628', 'n02129165', 'n02097658', 'n02093991', 'n02095570', 'n02097298', 'n02098286', 'n02259212', 'n02095889', 'n02092339', 'n02326432', 'n04259630', 'n02138441', 'n02098105', 'n04258138', 'n02095314', 'n02096294', 'n02093859']",2478,1594,0.6432606941081518,0.6470858191831115,0.7344350814819336
1,"['n02097130', 'n04509417', 'n02894605', 'n02909870', 'n02132136', 'n02167151', 'n02100583', 'n04542943', 'n03970156', 'n02883205', 'n02699494', 'n03967562', 'n02099267', 'n02488291', 'n04209239', 'n02279972', 'n04270147', 'n02443484', 'n04153751', 'n04404412', 'n02106030', 'n02133161', 'n02094258', 'n04525038', 'n04252077', 'n03016953', 'n03388043', 'n04517823', 'n02106382', 'n02672831', 'n02483708', 'n04325704', 'n02106166', 'n02437616', 'n02356798', 'n03062245', 'n04548280', 'n04462240', 'n02493793', 'n02134084', 'n04239074', 'n02443114', 'n02102040', 'n04275548', 'n02102480', 'n02892767', 'n02172182', 'n04238763', 'n02791270', 'n04201297']",2437,1434,0.5884283955683217,0.65,0.5739644765853882
2,"['n02097130', 'n07880968', 'n03047690', 'n04355338', 'n02687172', 'n02108551', 'n02099712', 'n04532670', 'n03000134', 'n02321529', 'n02776631', 'n03649909', 'n03372029', 'n02443114', 'n02783161', 'n02504458', 'n03998194', 'n01685808', 'n02769748', 'n01440764', 'n02256656', 'n02114712', 'n03125729', 'n02095570', 'n03016953', 'n02123597', 'n01693334', 'n04141327', 'n04367480', 'n04428191', 'n03032252', 'n01692333', 'n02094114', 'n04548280', 'n02672831', 'n03355925', 'n04273569', 'n02110185', 'n01443537', 'n02346627', 'n03290653', 'n04482393', 'n02093859', 'n02281406', 'n02892201', 'n06794110', 'n04370456', 'n02395406', 'n02747177', 'n01924916']",2434,1475,0.6059983566146261,0.6490622884963867,0.5036435127258301
3,"['n02097130', 'n02096437', 'n03691459', 'n03947888', 'n04265275', 'n03125729', 'n03697007', 'n03388043', 'n02791270', 'n02906734', 'n02423022', 'n04579432', 'n09193705', 'n02088632', 'n02281787', 'n03967562', 'n03127747', 'n02100236', 'n03983396', 'n02120079', 'n04479046', 'n02066245', 'n03706229', 'n02097209', 'n02206856', 'n01582220', 'n01950731', 'n03761084', 'n02125311', 'n02091032', 'n03478589', 'n07697537', 'n03788195', 'n04081281', 'n02106166', 'n02107908', 'n02363005', 'n03496892', 'n01883070', 'n04252077', 'n02106030', 'n01688243', 'n02988304', 'n01756291', 'n04367480', 'n04350905', 'n02787622', 'n02109961', 'n04501370', 'n02116738']",2408,1501,0.6233388704318937,0.6481267319819328,0.4569578170776367
4,"['n03447721', 'n03452741', 'n03445777', 'n03445924', 'n01740131', 'n03584254', 'n03535780', 'n03598930', 'n03393912', 'n03594945', 'n03617480', 'n03478589', 'n03544143', 'n01737021', 'n03450230', 'n03447447', 'n03590841', 'n03457902', 'n03599486', 'n02058221', 'n03467068', 'n03404251', 'n03444034', 'n03443371', 'n01739381', 'n10565667', 'n03459775', 'n01735189', 'n03476991', 'n03481172', 'n03594734', 'n09421951', 'n03538406', 'n01744401', 'n02066245', 'n03532672', 'n01742172', 'n03388549', 'n03476684', 'n02037110', 'n11879895', 'n03595614', 'n03584829', 'n03425413', 'n03394916', 'n03461385', 'n03602883', 'n03417042', 'n03534580', 'n03400231']",2404,1578,0.6564059900166389,0.6463901555647678,0.7583050727844238
5,"['n03447721', 'n01695060', 'n01984695', 'n09332890', 'n03977966', 'n03388549', 'n04579432', 'n03498962', 'n02017213', 'n03775071', 'n09472597', 'n15075141', 'n03532672', 'n03404251', 'n02091032', 'n03394916', 'n12267677', 'n02441942', 'n02391049', 'n01985128', 'n01773157', 'n12985857', 'n04258138', 'n03868242', 'n03476684', 'n02087394', 'n01833805', 'n02088094', 'n02422106', 'n01855672', 'n01986214', 'n09246464', 'n03743016', 'n01978455', 'n02412080', 'n02089867', 'n03724870', 'n03590841', 'n13040303', 'n02074367', 'n03530642', 'n03874599', 'n03534580', 'n09468604', 'n02165105', 'n02190166', 'n01742172', 'n03492542', 'n03958227', 'n09835506']",2407,1585,0.6584960531782301,0.646279729434868,0.5278823971748352
6,"['n03447721', 'n02361337', 'n15075141', 'n03843555', 'n04332243', 'n01795545', 'n02124075', 'n03967562', 'n02106662', 'n04286575', 'n02397096', 'n01877812', 'n03840681', 'n01819313', 'n04310018', 'n02917067', 'n03874599', 'n02134084', 'n02114548', 'n03666591', 'n03016953', 'n03482405', 'n07730033', 'n01797886', 'n03888605', 'n03916031', 'n03478589', 'n01806567', 'n04525305', 'n03995372', 'n03691459', 'n03598930', 'n02110806', 'n02123394', 'n03637318', 'n03388549', 'n01695060', 'n03485407', 'n03710637', 'n03530642', 'n03443371', 'n01697457', 'n01984695', 'n07684084', 'n02396427', 'n04041544', 'n02107574', 'n02259212', 'n04273569', 'n02120505']",2418,1539,0.6364764267990074,0.6474388354176215,0.4614177346229553
7,"['n03447721', 'n01968897', 'n04447861', 'n03290653', 'n04461696', 'n03792782', 'n02692877', 'n01877812', 'n11939491', 'n07747607', 'n02108422', 'n02101006', 'n02127052', 'n02916936', 'n02977058', 'n02128925', 'n07718747', 'n07684084', 'n03866082', 'n02089867', 'n03814639', 'n04192698', 'n02326432', 'n03075370', 'n02797295', 'n03920288', 'n04254777', 'n02095889', 'n02111500', 'n02134418', 'n02834397', 'n02190166', 'n03207941', 'n03764736', 'n03832673', 'n04162706', 'n02107683', 'n01748264', 'n03445924', 'n12620546', 'n01560419', 'n02894605', 'n03000684', 'n02129165', 'n04285008', 'n04204238', 'n04487081', 'n02108089', 'n01795545', 'n03197337']",2427,1583,0.6522455706633704,0.6466055446409081,0.4434400498867035
8,"['n02892767', 'n02483708', 'n02909870', 'n02494079', 'n02487347', 'n02669723', 'n02892201', 'n02504458', 'n02510455', 'n02802426', 'n02776631', 'n02493793', 'n02782093', 'n02794156', 'n02667093', 'n02749479', 'n02793495', 'n02486261', 'n02484975', 'n02895154', 'n02655020', 'n02791270', 'n02643566', 'n02708093', 'n02727426', 'n02910353', 'n02916936', 'n02797295', 'n02730930', 'n02493509', 'n02747177', 'n02894605', 'n02906734', 'n02509815', 'n02769748', 'n02497673', 'n02483362', 'n02492035', 'n02492660', 'n02883205', 'n02488291', 'n02641379', 'n02795169', 'n02777292', 'n02486410', 'n02666196', 'n02488702', 'n02799071', 'n02687172', 'n02676566']",2441,1509,0.6181892666939779,0.6484190759018255,0.8245244026184082
9,"['n02892767', 'n02410509', 'n02129165', 'n02859443', 'n04149813', 'n02279972', 'n04069434', 'n02093991', 'n03976467', 'n04392985', 'n02843684', 'n01688243', 'n04179913', 'n01537544', 'n02095314', 'n02233338', 'n02814533', 'n02481823', 'n04372370', 'n04296562', 'n02093754', 'n02277742', 'n02437616', 'n02777292', 'n04523525', 'n02120505', 'n02979186', 'n02906734', 'n04229816', 'n02117135', 'n01641577', 'n02119022', 'n04525305', 'n02510455', 'n01622779', 'n02834397', 'n02892201', 'n04259630', 'n02783161', 'n04532106', 'n02963159', 'n02667093', 'n01694178', 'n01667778', 'n02098105', 'n04254777', 'n04263257', 'n01669191', 'n04200800', 'n02099712']",2436,1614,0.6625615763546798,0.6460557629746075,0.5573385953903198
10,"['n02892767', 'n03042490', 'n02769748', 'n04392985', 'n02906734', 'n01669191', 'n04251144', 'n03388043', 'n02106662', 'n04552348', 'n02992211', 'n02457408', 'n03529860', 'n02892201', 'n03017168', 'n02328150', 'n01622779', 'n02098105', 'n04536866', 'n04146614', 'n02123394', 'n04456115', 'n01688243', 'n04311004', 'n02108915', 'n02105251', 'n03344393', 'n02095889', 'n04380533', 'n02951358', 'n02837789', 'n07697537', 'n03495258', 'n02105412', 'n02807133', 'n02486410', 'n02112350', 'n04254120', 'n02493793', 'n02396427', 'n04554684', 'n04553703', 'n03133878', 'n04328186', 'n02490219', 'n02782093', 'n03125729', 'n04404412', 'n02869837', 'n04326547']",2405,1588,0.6602910602910603,0.6461860708675161,0.5297621488571167
11,"['n02892767', 'n03124170', 'n04483307', 'n02087046', 'n09246464', 'n02105162', 'n02823428', 'n04487394', 'n07718747', 'n03924679', 'n03201208', 'n02107574', 'n03452741', 'n02025239', 'n02051845', 'n02033041', 'n03733281', 'n02134084', 'n04147183', 'n02526121', 'n03617480', 'n12985857', 'n02115641', 'n03100240', 'n01828970', 'n01667778', 'n03062245', 'n02096294', 'n02950826', 'n04141076', 'n04584207', 'n01873310', 'n01917289', 'n04111531', 'n01695060', 'n01943899', 'n01644900', 'n04125021', 'n03658185', 'n02190166', 'n02099601', 'n03314780', 'n02094114', 'n02510455', 'n04041544', 'n02091831', 'n02117135', 'n02169497', 'n04485082', 'n02105855']",2426,1615,0.6657048639736192,0.6458929078168999,0.4397266209125519
12,"['n07714990', 'n04597913', 'n04599235', 'n07753592', 'n03690938', 'n07754684', 'n07697313', 'n07715103', 'n03888257', 'n04591157', 'n03691459', 'n07745940', 'n04589890', 'n07615774', 'n06359193', 'n07714571', 'n04560804', 'n06794110', 'n06785654', 'n07716358', 'n07590611', 'n07716906', 'n04584207', 'n04590129', 'n03891251', 'n04613696', 'n03887697', 'n07697537', 'n07693725', 'n04592741', 'n04606251', 'n07753275', 'n07614500', 'n07749582', 'n04612504', 'n07717410', 'n04579145', 'n07711569', 'n07753113', 'n07695742', 'n07613480', 'n06874185', 'n04579432', 'n07684084', 'n04604644', 'n06596364', 'n04562935', 'n07747607', 'n07760859', 'n07871810']",2322,1536,0.661498708010336,0.6461504954807797,0.7534002661705017
13,"['n07714990', 'n03916031', 'n03692522', 'n04266014', 'n02091032', 'n04612504', 'n04264628', 'n02056570', 'n03791053', 'n01580077', 'n01667114', 'n07697313', 'n01537544', 'n03908714', 'n03676483', 'n01669191', 'n03444034', 'n03888605', 'n01753488', 'n02412080', 'n02086079', 'n01592084', 'n13040303', 'n07747607', 'n03394916', 'n03775546', 'n03690938', 'n03680355', 'n02747177', 'n07753275', 'n07684084', 'n03825788', 'n02009912', 'n07716358', 'n09835506', 'n03908618', 'n03485407', 'n03841143', 'n01632458', 'n03785016', 'n03970156', 'n04192698', 'n03482405', 'n09399592', 'n03706229', 'n03424325', 'n04584207', 'n02782093', 'n02415577', 'n09229709']",2372,1532,0.6458684654300169,0.6469421127221192,0.5050460696220398
14,"['n07714990', 'n02860847', 'n04118776', 'n04336792', 'n01742172', 'n03483316', 'n02095314', 'n03877845', 'n04258138', 'n02776631', 'n03982430', 'n03792972', 'n03459775', 'n07831146', 'n02794156', 'n02895154', 'n01698640', 'n03742115', 'n01855672', 'n09229709', 'n04542943', 'n07753592', 'n01945685', 'n01955084', 'n02090721', 'n03887697', 'n02095570', 'n07613480', 'n02112706', 'n03379051', 'n04347754', 'n03376595', 'n03825788', 'n03450230', 'n03891332', 'n03874293', 'n02226429', 'n04004767', 'n03743016', 'n02090379', 'n04116512', 'n07717556', 'n01704323', 'n01665541', 'n04162706', 'n02091244', 'n03661043', 'n02443484', 'n02086240', 'n03443371']",2370,1474,0.6219409282700422,0.6481784289358362,0.4724883735179901
15,"['n07714990', 'n03100240', 'n01833805', 'n02101556', 'n02096437', 'n03325584', 'n03658185', 'n01537544', 'n04557648', 'n03902125', 'n02865351', 'n02992211', 'n07802026', 'n02777292', 'n02280649', 'n01798484', 'n04044716', 'n07753113', 'n01877812', 'n07718472', 'n03425413', 'n07831146', 'n03770679', 'n01820546', 'n03127925', 'n07860988', 'n03218198', 'n01749939', 'n02110063', 'n02177972', 'n02106030', 'n01883070', 'n04548280', 'n02094433', 'n04532670', 'n03530642', 'n04146614', 'n02025239', 'n03297495', 'n02088466', 'n04074963', 'n03786901', 'n02281406', 'n12267677', 'n02363005', 'n02115641', 'n03666591', 'n04599235', 'n02132136', 'n02097209']",2408,1627,0.6756644518272426,0.6453773811342163,0.44118252396583557
16,"['n03743016', 'n03759954', 'n01910747', 'n03733281', 'n01944390', 'n01968897', 'n03786901', 'n03781244', 'n03742115', 'n03788195', 'n03733805', 'n03770679', 'n01943899', 'n03761084', 'n01978287', 'n03785016', 'n01978455', 'n03787032', 'n03788365', 'n01855032', 'n01950731', 'n03792782', 'n01855672', 'n03804744', 'n01945685', 'n01930112', 'n01883070', 'n03769881', 'n01882714', 'n03770439', 'n03773504', 'n03729826', 'n03733131', 'n03764736', 'n01914609', 'n03721384', 'n03763968', 'n03796401', 'n03792972', 'n03793489', 'n01917289', 'n03709823', 'n03791053', 'n03803284', 'n03814639', 'n01860187', 'n03724870', 'n01955084', 'n01924916', 'n03794056']",2382,1532,0.6431570109151973,0.6470831970341293,0.7327131032943726
17,"['n03743016', 'n02033041', 'n02018795', 'n01728920', 'n01774384', 'n03724870', 'n04259630', 'n03976657', 'n03873416', 'n03874293', 'n02125311', 'n07760859', 'n01843383', 'n02092002', 'n01877812', 'n03494278', 'n03782006', 'n03777568', 'n01797886', 'n01770081', 'n03680355', 'n09193705', 'n04612504', 'n09246464', 'n03388549', 'n02025239', 'n01860187', 'n02091635', 'n02085936', 'n02363005', 'n07695742', 'n01773549', 'n02128385', 'n02074367', 'n01817953', 'n01871265', 'n03857828', 'n02364673', 'n09428293', 'n02087394', 'n07768694', 'n01883070', 'n01774750', 'n02226429', 'n02088632', 'n03838899', 'n07753592', 'n09835506', 'n03884397', 'n02128757']",2410,1661,0.6892116182572614,0.6446636262465358,0.5234190225601196
18,"['n03743016', 'n04392985', 'n03777754', 'n03028079', 'n03838899', 'n02087046', 'n02837789', 'n02096585', 'n03584829', 'n02165105', 'n02168699', 'n02129165', 'n01796340', 'n03075370', 'n02123045', 'n09246464', 'n01531178', 'n02085620', 'n03794056', 'n04252225', 'n07697537', 'n02445715', 'n04251144', 'n03961711', 'n03595614', 'n03776460', 'n02749479', 'n04265275', 'n03388043', 'n03868863', 'n03530642', 'n03452741', 'n03868242', 'n04552348', 'n03781244', 'n02066245', 'n02088094', 'n13044778', 'n02089867', 'n02091032', 'n02346627', 'n04509417', 'n03627232', 'n02396427', 'n02033041', 'n02786058', 'n04505470', 'n02110806', 'n07831146', 'n04372370']",2423,1598,0.6595130004127115,0.6462216789627625,0.48078683018684387
19,"['n03743016', 'n03837869', 'n04398044', 'n01677366', 'n02415577', 'n02443114', 'n02951358', 'n04418357', 'n02002556', 'n02219486', 'n03250847', 'n02892767', 'n01824575', 'n04486054', 'n02111889', 'n04409515', 'n03710193', 'n02113712', 'n02268443', 'n02229544', 'n02988304', 'n02104365', 'n02823750', 'n01775062', 'n03617480', 'n07714571', 'n02112706', 'n02133161', 'n04550184', 'n04532106', 'n02105056', 'n01819313', 'n02113624', 'n04447861', 'n03868242', 'n03788365', 'n02484975', 'n04507155', 'n03998194', 'n03584254', 'n02280649', 'n03673027', 'n02101388', 'n04204347', 'n04584207', 'n01665541', 'n04065272', 'n02009912', 'n03916031', 'n02443484']",2429,1629,0.670646356525319,0.6456295843520783,0.45503026247024536
