,incontext_loss,incontext_acc_top1,incontext_acc_top5,outofcontext_loss,outofcontext_acc_top1,outofcontext_acc_top5
0,1.1823134,0.7225,0.89958334,1.5904822,0.6212095,0.846961
1,0.87127435,0.78746367,0.935658,1.688933,0.60016584,0.83571535
2,0.96280026,0.7780538,0.9163561,1.897943,0.5600026,0.8155075
3,1.0230932,0.74527526,0.914544,1.6702197,0.6037464,0.8390315
4,0.9501137,0.7587612,0.9392828,1.6889788,0.60501486,0.83243054
5,0.87237066,0.77317476,0.9319114,1.8198209,0.57543665,0.8199127
6,0.9344737,0.7692939,0.92569786,1.7633241,0.5865464,0.82889396
7,1.1524571,0.7303983,0.89056605,1.5108998,0.63860595,0.85625803
8,0.92284757,0.7725216,0.92595637,1.6622347,0.6091209,0.83725196
9,0.8647173,0.8020921,0.925523,1.9211738,0.5601117,0.81061333
10,1.0649422,0.75041187,0.9052718,1.7652134,0.58310413,0.8286837
11,0.92607075,0.76106936,0.92648286,1.9985465,0.54151034,0.7999084
12,1.109421,0.73142385,0.90909094,1.615503,0.6174038,0.84398526
13,0.8633543,0.7901896,0.9332234,1.6773609,0.6060857,0.83692044
14,1.1863201,0.7162829,0.8877467,1.6783047,0.60304326,0.83670264
15,0.77130914,0.808589,0.93701434,1.8166573,0.5745638,0.82104254
16,1.062845,0.7373444,0.9157676,1.687266,0.60356116,0.8357773
17,1.0038058,0.7694832,0.91632485,1.659694,0.6028603,0.83901745
18,0.8491171,0.79267794,0.9337721,1.9015536,0.5643024,0.8111424
19,0.76914436,0.8046493,0.93352365,1.7307247,0.59363127,0.8320229